Constituency,Candidate,Party,Criminal_Cases,Education,Age,Total_Assets,Liablities
KULLU,Maheshwar Singh,BJP,0,12th Pass,68,"17,99,50,412",0
KULLU,Renuka Dogra,Rashtriya Azad Manch,0,Graduate Professional,46,"2,09,90,000","4,40,200"
KULLU,Sunder Singh Thakur,INC,0,Graduate Professional,52,"20,80,32,031","2,45,36,547"
BANJAR,Aditya Vikram Singh,INC,0,Post Graduate,32,"4,34,24,987",0
BANJAR,Jhabe Ram Kaushal,BSP,0,Post Graduate,39,"23,32,000","2,25,000"
BANJAR,Surender Shourie,BJP, 1 ,Graduate,36,"29,95,766","7,47,510"
ANNI,Kishori Lal,BJP,0,Post Graduate,47,"2,52,93,001","15,50,000"
ANNI,Lokender Kumar,CPI(M), 7 ,Post Graduate,29,"2,00,000",0
ANNI,Paras Ram,INC,0,Graduate,44,"58,02,000","3,00,000"
LAHAUL & SPITI,Dr. Ram Lal Markanda,BJP,0,Doctorate,52,"87,73,811",0
LAHAUL & SPITI,Rajinder Karpa,IND,0,Graduate,54,"46,00,000",0
LAHAUL & SPITI,Ravi Thakur,INC,0,Graduate,55,"18,75,51,060","1,47,41,772"
LAHAUL & SPITI,Sudarshan,IND,0,Graduate Professional,36,"9,50,000","3,00,000"
KARSOG,Anita Alias Nitu,IND, 1 ,12th Pass,37,"97,55,000","95,000"
KARSOG,Chaman Lal,BSP,0,10th Pass,50,"1,90,120",0
KARSOG,Sh. Bhagat Ram,IND,0,Graduate,52,"91,59,216","13,00,000"
KARSOG,Sh. Bhagwant Singh,IND,0,Post Graduate,52,"52,00,000","4,50,000"
KARSOG,Sh. Hira Lal,BJP,0,12th Pass,51,"32,02,108","25,00,000"
KARSOG,Sh. Mansa Ram,INC,0,Graduate,76,"1,83,74,833","1,05,73,004"
KARSOG,Sh. Mast Ram,IND,0,Graduate,70,"82,09,961","8,45,000"
KARSOG,Sh. Mehar Singh Khukhaliya,Rashtriya Azad Manch, 3 ,10th Pass,50,"65,60,000","25,000"
KARSOG,Sh. Pawan Kumar,IND,0,Post Graduate,30,"3,11,000",0
SUNDERNAGAR,Dharam Singh,BSP,0,10th Pass,67,"8,86,357",0
SUNDERNAGAR,Rakesh Kumar,BJP, 1 ,Graduate,43,"2,05,00,212","13,99,157"
SUNDERNAGAR,Sohan Lal,INC,0,Post Graduate,59,"8,13,94,949","22,00,000"
NACHAN,Lal Singh,INC,0,10th Pass,48,"40,67,000","7,50,000"
NACHAN,Satya Prakash,IND,0,12th Pass,33,"3,85,000",0
NACHAN,Vinod Kumar,BJP, 1 ,12th Pass,37,"91,74,095","44,11,111"
SERAJ,Chet Ram,INC,0,10th Pass,57,"1,04,04,992","7,08,490"
SERAJ,Dile Ram Thakur,IND,0,12th Pass,45,"1,45,000",0
SERAJ,Jai Ram Thakur,BJP,0,Graduate,52,"3,27,99,144","18,19,462"
SERAJ,Narender Kumar,IND, 1 ,Graduate Professional,34,"3,00,000",0
SERAJ,Sunder Lal,BSP,0,8th Pass,60,"9,000",0
DARANG,Churamani,IND,0,10th Pass,58,"3,788",0
DARANG,Jawahar Thakur,BJP,0,8th Pass,63,"5,89,12,992","25,00,867"
DARANG,Kaul Singh,INC,0,Graduate Professional,72,"8,03,84,352","77,33,319"
DARANG,Puran Chand,IND,0,10th Pass,60,"82,86,000",0
DARANG,Ramesh Kumar,BSP,0,8th Pass,29,"73,709","50,000"
DARANG,Suraj Mani,IND,0,8th Pass,30,"3,70,000",0
JOGINDERNAGAR,Gulab Singh Thakur,BJP,0,Graduate Professional,69,"2,10,51,328","12,30,552"
JOGINDERNAGAR,Het Singh Verma,BSP,0,12th Pass,76,"45,24,101",0
JOGINDERNAGAR,Jiwan Lal,INC,0,Post Graduate,45,"72,24,105","20,48,000"
JOGINDERNAGAR,Kushal Bhardwaj,CPI(M), 2 ,Post Graduate,48,"28,50,163",0
JOGINDERNAGAR,Prakash Prem Kumar,IND,0,10th Pass,55,"20,86,07,293","7,64,459"
DHARAMPUR,Bhupender,CPI(M), 3 ,Post Graduate,52,"36,94,562","8,00,000"
DHARAMPUR,Chander Shekhar,INC,0,Graduate Professional,44,"22,49,357","1,61,000"
DHARAMPUR,Digvijay Singh,IND,0,Graduate Professional,36,"3,29,61,000","2,52,000"
DHARAMPUR,Mahender Singh,BJP, 1 ,12th Pass,67,"15,63,35,376",0
DHARAMPUR,Prakash Chand,IND,0,Post Graduate,59,"97,00,000","10,50,000"
DHARAMPUR,Ramesh Kumar,Rashtriya Azad Manch,0,10th Pass,58,"1,08,62,524",0
DHARAMPUR,Saju Ram,IND,0,8th Pass,76,"2,10,000","10,000"
MANDI,Anil Sharma,BJP, 1 ,12th Pass,61,"40,24,82,216","2,09,44,395"
MANDI,Champa Thakur,INC,0,Post Graduate,43,"1,77,61,708","23,83,329"
MANDI,Desh Raj,IND, 2 ,Graduate,47,"23,96,269","6,75,447"
MANDI,Duni Chand,IND,0,8th Pass,60,"31,50,486","6,73,000"
MANDI,Lawan Kumar,IND, 1 ,Post Graduate,52,"58,91,728","8,15,000"
MANDI,Narender Kumar,BSP,0,Graduate Professional,42,"3,79,623","28,000"
MANDI,Roshani Sharma,IND,0,10th Pass,62,"84,10,943",0
BALH,Inder Singh,BJP,0,10th Pass,55,"1,10,80,083",0
BALH,Prakash Chaudhary,INC,0,Post Graduate,55,"1,78,27,964","34,02,177"
BALH,Prem Kumar,BSP,0,Post Graduate,40,"13,39,703","5,76,753"
BALH,Rajender Paul Kashav,All India Forward Bloc,0,Graduate Professional,60,"53,93,089","14,00,000"
SARKAGHAT,Hem Raj,IND,0,10th Pass,51,"30,46,000","64,000"
SARKAGHAT,Inder Singh,BJP,0,Post Graduate,72,"2,78,44,813","16,40,000"
SARKAGHAT,Jagdish Chand,IND,0,Post Graduate,66,"64,40,000",0
SARKAGHAT,Moti Ram,IND,0,8th Pass,63,"28,10,000","4,00,000"
SARKAGHAT,Munish Sharma,CPI(M), 6 ,Post Graduate,34,"5,67,357",0
SARKAGHAT,Paro Devi,Lok Gathbandhan Party,0,Graduate Professional,66,"39,53,000","93,00,000"
SARKAGHAT,Pawan Kumar,INC,0,12th Pass,43,"4,08,29,226","81,33,756"
SARKAGHAT,Raj Kumar,BSP,0,Graduate Professional,36,"7,93,000",0
SARKAGHAT,Sanjiv Kumar,IND,0,Graduate Professional,41,"13,80,000","2,50,000"
CHOPAL,Balvir Singh Verma,BJP,0,12th Pass,46,"90,73,29,000","26,73,34,000"
CHOPAL,Dr.Subhash Chand Manglate,INC,0,Doctorate,45,"7,92,66,881","1,20,00,000"
CHOPAL,Hari Chand,BSP,0,Post Graduate,42,"98,71,000",0
CHOPAL,Hari Singh Panwar,IND,0,Graduate Professional,60,"35,93,000",0
THEOG,Deepak Kumar,INC,0,Graduate Professional,45,"21,00,000",0
THEOG,Devi Ram Sharma,IND,0,Post Graduate,60,"2,10,00,000","39,00,000"
THEOG,Rakesh Singha,CPI(M), 2 ,Graduate Professional,60,"18,15,08,484",0
THEOG,Rakesh Verma,BJP,0,Graduate Professional,55,"10,25,91,040","10,50,000"
THEOG,Roshan Lal,IND,0,12th Pass,40,"7,26,000","1,00,000"
KASUMPTI,Anirudh Singh,INC,0,Graduate,40,"16,22,17,508","1,09,99,355"
KASUMPTI,Dev Raj Bhardwaj,IND,0,Others,59,"65,28,02,017",0
KASUMPTI,Inder Singh,IND,0,8th Pass,42,"4,40,000","2,50,000"
KASUMPTI,Kuldip Singh Tanwar,CPI(M), 1 ,Doctorate,61,"10,46,27,992",0
KASUMPTI,Madan Mohan Thakur,IND,0,10th Pass,47,"2,51,17,000",0
KASUMPTI,Ramesh Kumar,BSP,0,Graduate,41,"50,52,000","10,000"
KASUMPTI,Vijay Jyoti,BJP,0,10th Pass,45,"7,00,28,722","13,50,442"
SHIMLA,Dr. Kishori Lal Sharma,Swabhiman Party,0,Doctorate,40,"13,20,000","7,20,000"
SHIMLA,Harbhajan Singh Bhajji,INC,0,Graduate,68,"3,97,46,203","2,93,299"
SHIMLA,Harish Janartha,IND,0,Graduate,52,"5,34,06,000","60,00,000"
SHIMLA,Sanjay Chauhan,CPI(M),0,Post Graduate,49,"1,54,22,613",0
SHIMLA,Suresh Bhardwaj,BJP,0,Graduate Professional,65,"93,53,349","7,89,320"
SHIMLA,Virender Kumar,IND,0,Graduate,45,"26,29,366","7,95,000"
SHIMLA RURAL,Kushal Raj,Swabhiman Party,0,Graduate,49,"64,74,000",0
SHIMLA RURAL,Mohan Dass,IND,0,Graduate,51,"47,25,110","3,00,000"
SHIMLA RURAL,Pramod Kumar Sharma,BJP,0,Doctorate,50,"1,89,31,820","16,22,106"
SHIMLA RURAL,Vikramaditya Singh,INC,0,Post Graduate,28,"84,32,81,014","5,53,90,000"
JUBBAL,Lokinder Singh,IND,0,Graduate,61,"34,86,184",0
JUBBAL,Narinder Bragta,BJP, 1 ,Post Graduate,65,"3,66,64,050","14,55,561"
JUBBAL,Rohit Thakur,INC,0,Graduate,0,"27,82,37,915","10,00,000"
RAMPUR,Nand Lal,INC,0,Post Graduate,63,"3,05,04,900","17,50,157"
RAMPUR,Prem Singh Draik,BJP,0,Post Graduate,61,"2,62,13,814","3,00,000"
RAMPUR,Singhi Ram,IND, 1 ,Graduate Professional,63,"5,85,22,035","1,50,41,674"
RAMPUR,Suresh Singh,BSP,0,Post Graduate,30,"1,16,627",0
RAMPUR,Vivek Kashyap,CPI(M), 2 ,12th Pass,40,"15,22,500","27,000"
ROHRU,Mohan Lal Brakta,INC,0,Graduate Professional,52,"1,82,80,012","40,00,000"
ROHRU,Narayan Chand,Swabhiman Party,0,5th Pass,49,"5,46,700",0
ROHRU,Shashi Bala,BJP,0,Post Graduate,35,"43,74,465",0
ROHRU,Shurvir Singh,BSP,0,Graduate,34,"1,10,000","18,26,000"
PACHHAD,Gangu Ram Musafir,INC,0,Graduate,72,"4,48,17,557","39,24,430"
PACHHAD,Rattan Singh Kashyap,IND,0,12th Pass,58,"2,68,31,478","11,20,000"
PACHHAD,Suresh Kumar Kashyap,BJP,0,Post Graduate,46,"1,17,71,138","61,00,000"
NAHAN,Ajay Solanki,INC,0,12th Pass,46,"60,69,512",0
NAHAN,Dr. Rajeev Bindal,BJP, 1 ,Graduate Professional,62,"8,09,63,575","80,98,868"
NAHAN,Jai Chand,BSP,0,12th Pass,60,"88,98,702",0
NAHAN,Virender Kumar,Lok Gathbandhan Party, 1 ,Graduate,53,"21,20,000",0
NAHAN,Vishwanath,CPI(M),0,Post Graduate,62,"46,50,033","24,00,000"
SRI RENUKAJI,Balbir Singh,BJP,0,Post Graduate,56,"78,15,428","3,30,812"
SRI RENUKAJI,Hirdaya Ram,IND,0,Graduate Professional,55,"59,78,664","30,00,120"
SRI RENUKAJI,Vinay Kumar,INC,0,10th Pass,39,"3,30,44,987","80,30,702"
PAONTA SAHIB,Kirnesh Jung,INC,0,12th Pass,60,"8,38,89,425","65,05,550"
PAONTA SAHIB,Meena Kumari,Lok Gathbandhan Party,0,Post Graduate,45,"17,06,761",0
PAONTA SAHIB,Sukh Ram,BJP, 1 ,12th Pass,52,"2,22,26,492","23,78,131"
PAONTA SAHIB,Surender,IND,0,8th Pass,33,"22,000","50,000"
SHILLAI,Baldev Singh,BJP,0,Graduate,46,"5,87,88,254","2,08,00,000"
SHILLAI,Harshwardhan Chauhan,INC,0,Graduate Professional,53,"11,20,68,559","41,00,000"
SHILLAI,Kedar Singh Jindan,BSP, 1 ,Post Graduate,39,"11,65,000",0
SHILLAI,Mani Ram,Swabhiman Party,0,12th Pass,58,"1,55,000",0
ARKI,Rattan Singh Pal,BJP,0,10th Pass,50,"1,66,06,262","32,98,000"
ARKI,Vijay Singh,IND,0,8th Pass,75,"83,62,522","2,66,522"
ARKI,Vijay Singh,Janral Samaj Party,0,Post Graduate,31,"23,60,000","4,50,000"
ARKI,Virbhadra Singh,INC, 1 ,Post Graduate,83,"30,52,15,611","6,25,24,000"
NALAGARH,Gurnam Singh,IND,0,8th Pass,42,"16,60,000","15,00,000"
NALAGARH,Hardeep Singh Bawa,IND,0,12th Pass,37,"4,18,70,137","5,50,000"
NALAGARH,Harpreet Singh,IND,0,Graduate Professional,29,"50,34,091",0
NALAGARH,Krishan Lal Thakur,BJP, 3 ,Graduate Professional,56,"2,79,05,607","75,44,353"
NALAGARH,Lakhvinder Singh Rana,INC,0,Graduate,48,"5,72,01,782","34,08,000"
DOON,Inder Singh Thakur,IND,0,Post Graduate,59,"46,02,329",0
DOON,Paramjeet Singh,BJP,0,Graduate,52,"12,73,86,818","40,48,939"
DOON,Ram Kumar,INC, 3 ,Post Graduate,48,"40,81,44,720","1,37,83,858"
SOLAN,Ajay Bhatti,CPI(M), 2 ,Post Graduate,25,"11,000",0
SOLAN,Dhani Ram Shandil,INC,0,Doctorate,77,"1,07,47,409","46,11,108"
SOLAN,Rajesh Kashyap,BJP,0,Post Graduate,54,"3,08,31,786","19,17,716"
SOLAN,Shashi Kant Chauhan,IND,0,8th Pass,32,"22,70,481","1,50,000"
KASAULI,Keshav Kumar,Swabhiman Party,0,5th Pass,35,"50,25,000","20,00,000"
KASAULI,Rajeev Kumar Kaundal,IND, 1 ,Graduate Professional,36,"17,12,203",0
KASAULI,Rajiv Saizal,BJP,0,Graduate Professional,46,"77,09,500","3,31,745"
KASAULI,Vinod Sultanpuri,INC,0,Graduate Professional,35,"4,08,18,476","3,22,053"
KASAULI,Virender Kumar Kashyap,CPI,0,12th Pass,32,"2,47,050",0
CHINTPURNI,Balbir Singh,BJP, 1 ,Graduate,54,"4,54,11,401","5,17,66,017"
CHINTPURNI,Kuldip Kumar,INC,0,Graduate,67,"2,36,63,487","39,63,174"
CHINTPURNI,Ranjit Singh,BSP,0,Graduate,60,"64,42,439","1,02,000"
GAGRET,Lekh Raj Katnoria,BSP,0,10th Pass,53,"6,80,000","2,00,000"
GAGRET,Rajesh Thakur,BJP,0,Graduate,52,"20,83,71,632","35,40,066"
GAGRET,Rakesh Kalia,INC,0,Graduate,49,"18,96,00,646","6,09,71,027"
GAGRET,Subhash Sharma,IND,0,Graduate Professional,68,"41,56,460","19,700"
HAROLI,Mukesh Agnihotri,INC,0,Graduate,55,"7,75,07,137","16,15,278"
HAROLI,Ram Kumar,BJP,0,Post Graduate,48,"76,85,653",0
HAROLI,Ravinder Pal Singh Mann,IND,0,Graduate Professional,34,"29,54,546",0
HAROLI,Virender Kumar,BSP,0,Graduate,35,"3,61,455",0
UNA,Gulzar Singh,IND,0,8th Pass,65,"32,52,000","4,50,000"
UNA,Rajiv Gautam,IND,0,Graduate Professional,37,"18,30,90,291","12,61,140"
UNA,Ravi Kumar,BSP,0,8th Pass,27,"1,07,999",0
UNA,Satpal Singh Raizada,INC,0,10th Pass,47,"8,96,37,432","5,29,63,667"
UNA,Satpal Singh Satti,BJP,0,Post Graduate,53,"3,14,22,977","12,46,674"